timestamp,sending_rate
0.0,938.93
0.2090001106262207,948.48
0.41499996185302734,955.79
0.621999979019165,954.98
0.8259999752044678,953.53
1.0320000648498535,946.05
1.2369999885559082,952.05
1.444000005722046,946.99
1.6519999504089355,947.28
1.8559999465942383,950.18
2.059000015258789,952.65
2.2639999389648438,952.38
2.4730000495910645,944.27
2.680000066757202,945.08
2.888000011444092,953.62
3.0929999351501465,953.50
3.2960000038146973,947.14
3.499000072479248,950.63
3.703000068664551,949.35
3.9079999923706055,953.42
4.114000082015991,950.10
4.321000099182129,951.50
4.5269999504089355,951.39
4.733999967575073,937.05
4.936000108718872,948.26
5.145999908447266,953.65
5.3459999561309814,952.27
5.551000118255615,947.54
5.756999969482422,948.34
5.96399998664856,942.10
6.171999931335449,944.85
6.377000093460083,944.65
6.584000110626221,943.84
6.792999982833862,948.66
6.999000072479248,949.51
7.20799994468689,937.50
7.413000106811523,950.68
7.621000051498413,948.80
7.825000047683716,948.28
8.03600001335144,945.59
8.242000102996826,948.32
8.44700002670288,952.16
8.654000043869019,945.91
8.858000040054321,946.14
9.066999912261963,937.62
9.272000074386597,952.37
9.476999998092651,947.87
9.684000015258789,947.29
9.894000053405762,947.62
10.099999904632568,946.59
10.306999921798706,936.49
10.510999917984009,953.70
10.71399998664856,950.68
10.918999910354614,945.88
11.121999979019165,954.06
11.32800006866455,937.30
11.538000106811523,921.67
11.745000123977661,947.29
11.95199990272522,950.16
12.157999992370605,944.57
12.36299991607666,948.64
12.569000005722046,952.00
12.775000095367432,943.26
12.98200011253357,951.46
13.187000036239624,942.63
13.391999959945679,952.45
13.595999956130981,955.80
13.799000024795532,951.49
14.003999948501587,944.12
14.21399998664856,947.64
14.42199993133545,947.99
14.628000020980835,947.56
14.831000089645386,956.49
15.03600001335144,946.04
15.239000082015991,947.64
15.446000099182129,948.75
15.651000022888184,952.92
15.855999946594238,955.50
16.062999963760376,936.48
16.26800012588501,951.15
16.4760000705719,953.61
16.683000087738037,950.15
16.888000011444092,956.05
17.091000080108643,955.09
17.293999910354614,954.94
17.5,940.65
17.70300006866455,951.59
17.907999992370605,951.50
18.111000061035156,956.50
18.314000129699707,954.17
18.515000104904175,954.03
18.72000002861023,953.36
18.927000045776367,951.57
19.13700008392334,942.31
19.341000080108643,949.76
19.543999910354614,954.64
19.749000072479248,950.08
19.95199990272522,946.93
20.158999919891357,946.52
20.365000009536743,947.48
20.572999954223633,939.69
20.776999950408936,955.89
20.98099994659424,952.97
21.186000108718872,953.40
21.390000104904175,942.68
21.597000122070312,951.22
21.80299997329712,946.39
22.009999990463257,950.97
22.21499991416931,949.51
22.42300009727478,945.39
22.628000020980835,954.86
22.829999923706055,951.14
23.036999940872192,950.40
23.240000009536743,946.30
23.44600009918213,949.14
23.651999950408936,950.84
23.85599994659424,946.02
24.062000036239624,942.62
24.26800012588501,951.75
24.47499990463257,939.81
24.681999921798706,940.07
24.884999990463257,890.75
25.091000080108643,946.38
25.299999952316284,937.91
25.503999948501587,953.83
25.70900011062622,955.30
25.913000106811523,950.62
26.117000102996826,950.40
26.32200002670288,950.47
26.52999997138977,946.62
26.735000133514404,949.73
26.937999963760376,947.92
27.14199995994568,953.09
27.348999977111816,954.77
27.555999994277954,952.73
27.76200008392334,945.49
27.966000080108643,949.81
28.171000003814697,951.69
28.375999927520752,953.92
28.582000017166138,950.92
28.788000106811523,944.76
28.992000102996826,947.31
29.199000120162964,942.76
29.403000116348267,953.26
29.608999967575073,945.12
29.816999912261963,942.71
30.0239999294281,950.18
30.23200011253357,946.85
30.44000005722046,945.07
30.645999908447266,952.97
30.84999990463257,950.06
31.05999994277954,935.89
31.26800012588501,930.11
31.473999977111816,947.04
31.67899990081787,953.30
31.884000062942505,948.49
32.092000007629395,948.33
32.295000076293945,953.74
32.50200009346008,944.49
32.70900011062622,931.73
32.91199994087219,955.81
33.11899995803833,947.82
33.324000120162964,946.95
33.53099989891052,949.84
33.73399996757507,954.93
33.93900012969971,946.81
34.14199995994568,954.48
34.34599995613098,951.82
34.551000118255615,944.19
34.75399994850159,952.17
34.96000003814697,951.79
35.16499996185303,950.22
35.36800003051758,947.10
35.57299995422363,945.41
35.77800011634827,954.34
35.9779999256134,955.62
36.18499994277954,948.25
36.388999938964844,946.43
36.59400010108948,951.82
36.799999952316284,953.22
37.00399994850159,948.72
37.20799994468689,951.66
37.41300010681152,946.03
37.617000102996826,950.32
37.82599997520447,947.86
38.03099989891052,949.09
38.235000133514404,951.33
38.437999963760376,949.83
38.64400005340576,949.92
38.848999977111816,953.62
39.0550000667572,948.07
39.25999999046326,949.29
39.46499991416931,947.67
39.6710000038147,951.77
